Kingdom,Phylum,Class,Order,Family,Genus,Species,ASVs,S13_cyc_100_cont,S14_cyc_100_cont,S15_cyc_100_cont,S16_cyc_100_Fe,S17_cyc_100_Fe,S18_cyc_100_Fe,S19_cyc_DCM_cont,S20_cyc_DCM_cont,S21_cyc_DCM_cont,S22_cyc_DCM_Fe,S23_cyc_DCM_Fe,S24_cyc_DCM_Fe,S67_anti_100_cont,S68_anti_100_cont,S69_anti_100_cont,S70_anti_100_Fe,S71_anti_100_Fe,S72_anti_100_Fe,S73_anti_DCM_cont,S74_anti_DCM_cont,S75_anti_DCM_cont,S76_anti_DCM_Fe,S77_anti_DCM_Fe,S78_anti_DCM_Fe
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_56,92,92,57,78,102,102,36,18,16,16,33,44,136,218,224,228,117,125,78,41,60,42,24,31
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_57,129,152,73,85,78,103,30,25,29,26,33,36,92,159,205,112,87,96,121,82,50,83,64,45
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,NA,ASV_58,99,84,38,72,51,76,50,46,47,40,79,83,46,144,146,87,175,78,106,89,75,105,68,94
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_59,64,88,100,69,85,130,88,86,92,41,162,99,47,94,102,59,81,45,104,91,63,62,56,52
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_60,184,208,110,129,126,143,92,62,64,60,80,91,43,58,65,49,36,36,55,64,57,46,43,52
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_61,51,64,29,58,44,84,55,21,40,26,61,60,111,226,218,247,136,135,55,44,50,57,26,26
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,NA,ASV_62,234,346,169,166,217,187,67,64,86,43,73,98,19,17,41,38,21,22,1,2,1,1,2,1
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_63,53,48,37,52,43,47,27,18,33,23,34,32,95,281,357,229,151,149,38,34,26,22,9,15
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_64,0,1,0,1,1,2,0,1,0,3,0,0,179,354,379,330,191,224,30,21,33,44,26,30
Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA,ASV_65,117,211,142,96,129,123,48,30,40,39,59,71,57,101,137,77,69,49,38,52,31,60,22,39
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_66,76,90,105,101,72,126,131,62,95,61,185,140,17,64,66,40,29,32,51,70,50,46,55,57
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_67,0,0,1,0,2,1,0,0,0,4,2,0,192,385,385,394,199,222,6,5,6,4,2,4
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_68,55,70,79,57,59,84,74,33,71,33,100,77,64,198,153,113,107,76,54,43,31,31,31,40
Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA,ASV_69,23,22,13,20,15,26,203,222,135,249,291,331,0,0,0,0,0,0,37,38,30,19,32,26
Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_70,142,240,124,174,151,134,60,27,53,19,51,45,47,96,102,56,69,53,5,6,5,3,1,3
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_71,101,100,94,104,89,116,79,76,105,45,128,94,24,89,77,52,51,16,57,36,23,46,22,27
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_72,94,129,122,107,74,141,94,81,115,48,174,107,22,57,61,50,27,28,22,22,20,15,5,27
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_73,126,135,124,95,100,132,123,113,151,50,228,224,0,0,0,0,0,0,1,0,0,2,1,1
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_74,2,1,1,0,2,0,1,0,0,1,0,0,170,330,377,330,171,170,13,7,7,6,2,8
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_75,42,59,54,50,33,69,32,35,40,14,74,31,53,148,180,138,109,71,72,57,50,56,48,69
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA,ASV_76,64,136,68,111,96,95,42,25,54,29,48,52,4,7,16,10,13,6,117,121,100,168,91,105
Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA,ASV_77,195,183,101,100,165,116,76,74,100,95,169,183,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_78,1,2,2,3,4,1,0,0,3,0,0,0,185,273,341,312,165,186,17,11,17,14,12,7
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_79,65,84,88,75,66,90,87,80,78,49,156,95,21,77,78,44,38,30,44,53,34,39,24,56
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_80,63,49,59,33,61,67,49,39,37,26,97,51,52,156,159,115,96,59,66,48,24,50,39,40
Bacteria,WPS-2,NA,NA,NA,NA,NA,ASV_81,69,107,68,109,117,90,25,11,16,15,37,41,80,131,129,112,71,83,41,40,32,32,22,39
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_82,67,91,101,58,70,90,90,63,97,42,171,132,13,21,28,29,30,12,56,60,49,55,34,41
Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_83,2,0,5,1,6,5,4,1,1,1,1,2,74,155,163,95,77,72,186,132,123,163,93,109
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_84,103,144,88,70,80,119,95,83,90,68,95,107,20,26,31,18,17,13,43,32,25,37,35,30
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_85,38,70,63,53,42,69,55,28,67,20,81,60,48,129,116,109,87,48,83,44,42,54,18,36
Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_86,106,148,85,58,92,74,160,99,82,67,179,167,0,3,1,0,1,0,15,19,22,24,12,16
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_87,66,70,75,80,63,107,75,65,76,45,158,110,22,44,41,41,22,15,48,44,48,42,32,33
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_88,138,138,85,97,80,127,63,48,39,39,65,67,35,45,43,42,29,27,39,53,19,33,29,24
Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_89,71,138,45,144,90,112,89,73,152,126,173,171,0,0,0,0,2,0,0,0,0,0,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_90,112,146,94,85,84,169,73,54,93,97,168,122,2,4,7,7,4,4,12,12,9,4,10,11
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA,ASV_91,0,0,0,0,0,0,0,0,0,0,0,0,145,265,362,198,152,171,20,16,17,9,17,10
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA,ASV_92,87,142,68,95,58,171,103,45,94,79,110,137,7,11,11,7,10,9,30,31,16,14,11,15
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA,ASV_93,62,161,87,108,100,115,87,74,14,86,152,245,0,9,12,3,4,6,6,7,0,4,4,5
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA,ASV_94,76,99,58,60,58,51,113,61,132,128,204,279,0,1,0,0,1,0,3,9,3,10,2,0
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_95,1,0,0,1,2,0,0,1,0,0,0,1,155,301,254,234,139,174,14,15,15,10,8,8
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_96,117,110,72,84,74,97,74,68,67,52,102,115,12,23,18,14,9,11,47,35,22,31,28,35
Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_97,52,24,34,28,49,61,80,65,1,43,137,114,78,98,168,83,55,74,15,11,12,12,11,12
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV_98,113,161,68,116,129,85,45,9,37,28,51,75,15,32,47,18,25,9,26,73,34,42,47,22
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_99,113,171,112,100,106,148,61,48,107,86,144,63,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_100,1,0,0,0,1,0,0,0,0,6,0,0,163,238,284,268,129,136,4,8,2,7,1,11
Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_101,55,67,55,44,59,105,124,90,96,116,162,156,2,0,2,4,2,14,10,18,16,16,23,19
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA,ASV_102,129,296,106,179,127,171,30,27,10,31,70,61,0,3,0,0,1,0,0,1,2,0,0,2
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA,ASV_103,85,118,62,48,71,164,116,82,70,78,83,195,2,2,0,0,2,2,2,8,13,8,19,16
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_104,65,61,63,60,44,80,92,58,85,29,139,88,17,33,42,21,16,10,56,40,41,33,18,18
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_105,43,23,10,19,16,23,12,2,6,3,13,8,111,200,194,168,107,121,21,20,16,22,13,24
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,ASV_106,9,28,11,19,16,20,14,16,29,14,18,14,21,39,53,33,27,14,142,167,85,175,102,125
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_107,38,58,53,35,38,63,81,44,70,32,81,54,22,83,67,49,42,39,45,45,45,27,29,38
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA,ASV_108,54,83,31,46,30,61,38,47,52,57,70,51,6,7,23,6,14,10,103,92,52,86,84,72
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV_109,13,14,21,14,9,30,5,2,3,4,7,39,125,187,193,247,50,128,10,16,12,16,14,14
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_110,49,83,34,77,62,82,136,72,66,44,129,153,2,3,2,6,3,1,45,26,32,30,11,23
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,NA,NA,ASV_111,114,95,120,68,87,127,39,24,62,46,75,36,19,52,55,40,37,25,5,10,11,9,3,6
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA,ASV_112,57,47,21,37,30,30,25,8,19,19,25,23,66,117,156,91,82,62,56,55,29,39,29,30
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA,ASV_113,98,94,39,58,48,83,51,68,74,57,86,81,7,13,17,9,6,7,53,39,50,39,38,33
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA,ASV_114,174,188,99,136,128,184,45,7,38,28,53,52,1,2,2,1,0,0,2,0,0,1,2,4
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA,ASV_115,41,31,15,26,34,29,4,6,10,6,7,18,113,167,196,144,103,87,26,17,25,15,12,13
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_116,66,66,81,58,55,67,45,39,64,24,128,78,17,69,59,48,37,22,27,22,20,18,10,22
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_117,22,14,29,23,10,27,11,11,21,10,16,7,63,154,155,134,92,70,53,48,39,39,43,42
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV_118,104,115,62,70,100,103,40,22,49,27,47,89,5,10,5,6,8,3,33,64,37,49,36,32
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_119,25,22,34,19,18,35,13,20,19,7,35,12,46,155,153,147,96,51,47,21,43,46,13,37
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_120,37,45,39,30,20,42,55,44,39,21,54,58,38,76,63,50,61,24,41,64,63,48,50,51
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_121,15,12,11,15,14,13,145,113,62,110,168,213,0,0,0,0,0,0,39,35,41,52,33,22
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_122,71,91,103,69,75,100,73,52,81,43,149,81,5,14,24,15,10,6,8,6,9,3,9,10
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_123,9,20,9,20,13,12,5,3,2,2,6,3,76,133,166,89,86,77,75,70,52,62,63,54
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_124,36,38,54,50,39,60,33,29,28,16,49,38,37,103,132,84,55,47,35,38,28,27,17,29
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,NA,ASV_125,58,106,30,76,62,69,12,28,30,11,23,22,6,9,11,11,8,3,62,116,109,81,77,66
